Open,High,Low,Close,Volume,Dividends,Stock Splits
67360.703125,67801.578125,66581.3671875,67361.40625,31808472566,0.0,0.0
67362.375,67402.7421875,65188.03515625,66432.1953125,32263980353,0.0,0.0
66653.703125,68798.9609375,66454.1015625,68161.0546875,31414428647,0.0,0.0
68165.296875,68722.15625,65521.79296875,66642.4140625,41469984306,0.0,0.0
66628.734375,67317.921875,66360.59375,67014.6953125,19588098156,0.0,0.0
67023.4765625,68221.3125,66847.2265625,67929.296875,16721307878,0.0,0.0
67922.671875,70212.265625,67535.1328125,69907.7578125,38799856657,0.0,0.0
69910.046875,73577.2109375,69729.9140625,72720.4921875,58541874402,0.0,0.0
72715.3671875,72905.296875,71411.734375,72339.5390625,40646637831,0.0,0.0
72335.046875,72662.3125,69590.5,70215.1875,40627912076,0.0,0.0
70216.8984375,71559.015625,68779.703125,69482.46875,49989795365,0.0,0.0
69486.0234375,69867.3515625,69033.71875,69289.2734375,18184612091,0.0,0.0
69296.3828125,69361.65625,67482.5234375,68741.1171875,34868307655,0.0,0.0
68742.1328125,69433.1796875,66803.6484375,67811.5078125,41184819348,0.0,0.0
67811.171875,70522.7890625,67458.8671875,69359.5625,46046889204,0.0,0.0
69358.5,76460.15625,69322.03125,75639.078125,118592653963,0.0,0.0
75637.0859375,76943.1171875,74480.421875,75904.859375,63467654989,0.0,0.0
75902.8359375,77252.75,75648.7421875,76545.4765625,55176858003,0.0,0.0
76556.1875,76932.765625,75773.7890625,76778.8671875,29009480361,0.0,0.0
76775.546875,81474.421875,76565.4296875,80474.1875,82570594495,0.0,0.0
80471.4140625,89604.5,80283.25,88701.484375,117966845037,0.0,0.0
88705.5625,89956.8828125,85155.109375,87955.8125,133673285375,0.0,0.0
87929.96875,93434.3515625,86256.9296875,90584.1640625,123559027869,0.0,0.0
90574.8828125,91765.21875,86682.8125,87250.4296875,87616705248,0.0,0.0
87284.1796875,91868.7421875,87124.8984375,91066.0078125,78243109518,0.0,0.0
91064.3671875,91763.9453125,90094.2265625,90558.4765625,44333192814,0.0,0.0
90558.4609375,91433.0390625,88741.6640625,89845.8515625,46350159305,0.0,0.0
89843.71875,92596.7890625,89393.59375,90542.640625,75535775084,0.0,0.0
90536.8125,94002.8671875,90426.984375,92343.7890625,74521048295,0.0,0.0
92341.890625,94902.0234375,91619.5,94339.4921875,71730956426,0.0,0.0
94334.640625,99014.21875,94132.6015625,98504.7265625,106024505582,0.0,0.0
98496.4296875,99655.5,97222.6640625,98997.6640625,78473580551,0.0,0.0
99006.7421875,99014.6796875,97232.890625,97777.28125,44414644677,0.0,0.0
97778.09375,98647.1796875,95788.078125,98013.8203125,51712020623,0.0,0.0
97939.4765625,98803.6015625,97028.6953125,97551.78125,55868776448,0.0,0.0
